BUG_ID,STATUS,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE,CHG_ASSIGNEE
370834,resolved:fixed,pavankumarsurey,birt,reportengine,3.7,pc,windows xp,P3,normal,gangliu,1
371110,closed:invalid,mickaelistria,birt,build,uns,pc,linux,P3,normal,birtbuild,0
371153,resolved:worksforme,subrat,birt,reportengine,2.3,pc,windows xp,P3,normal,birtreportengineinbox,0
371247,new:---,alexandregarnier,birt,reportviewer,2.5,pc,windows xp,P3,normal,birtreportviewer,0
371363,resolved:invalid,amunathasree,birt,documentation,uns,pc,windows xp,P3,normal,birtdocumentation,1
371540,resolved:fixed,rodmacdonald,birt,data,uns,pc,linux,P3,normal,birtdatainbox,1
371602,resolved:fixed,frankvanwerven,birt,reportengine,uns,pc,windows 7,P3,normal,birtreportengineinbox,0
371814,new:---,laurentmarchal,birt,reportengine,uns,pc,mac os x - carbon (unsup.),P3,normal,birtreportengineinbox,0
371961,verified:fixed,birtdeveloper,birt,reportengine,3.7,pc,windows xp,P3,major,birtreportengineinbox,0
372016,resolved:worksforme,nikolabaranov,birt,chart,uns,pc,windows 7,P3,normal,yuxuandai,1
372447,new:---,dannyluong,birt,reportengine,3.7,pc,windows 7,P3,normal,birtreportengineinbox,0
372506,resolved:fixed,missingname,birt,reportengine,3.7,all,all,P3,normal,birtreportengineinbox,0
372671,verified:fixed,jasonweathersby,birt,reportengine,3.7,pc,windows 7,P3,normal,yuanyi,1
372793,new:---,ericb.,birt,data,uns,all,all,P3,enhancement,birtdatainbox,1
372861,new:---,rolandgrunberg,birt,chart,uns,pc,linux,P3,enhancement,birtchartinbox,0
372881,new:---,ericb.,birt,reportdesigner,2.6,all,all,P3,enhancement,birtreportdesigner,0
372986,new:---,ludwigmoser,birt,reportdesigner,3.7,pc,windows xp,P3,enhancement,birtreportdesigner,0
372999,closed:fixed,sylvainroux,birt,chart,3.7,pc,windows xp,P3,minor,hengli,1
373053,new:---,stephanecoquard,birt,reportengine,uns,all,all,P3,enhancement,birtreportengineinbox,1
373223,resolved:worksforme,martinthiim,birt,reportviewer,uns,pc,windows 7,P3,major,birtreportviewer,0
373415,new:---,mikewulkan,birt,report,uns,pc,windows 7,P3,enhancement,birtreportinbox,0
